Velocity Ratio at 2m (Velocity value normalized by the inflow velocity at 15.9m*)	

1	0.38 
2	0.55 
3	0.55 
4	0.67 
5	0.65 
6	0.63 
7	0.50 
8	0.38 
9	0.30 
10	0.24 
11	0.24 
12	0.36 
13	0.40 
14	0.73 
15	0.83 
16	0.54 
17	0.63 
18	0.59 
19	0.63 
20	0.38 
21	0.42 
22	0.26 
23	0.36 
24	0.75 
25	0.79 
26	0.34 
27	0.81 
28	0.55 
29	0.73 
30	0.87 
31	0.65 
32	0.20 
33	0.22 
34	0.24 
35	0.28 
36	0.48 
37	1.17 
38	0.93 
39	0.54 
40	0.44 
41	0.34 
42	0.22 
43	0.24 
44	0.26 
45	0.22 
46	0.22 
47	0.16 
48	0.34 
49	0.46 
50	0.44 
51	0.52 
52	0.40 
53	0.28 
54	0.50 
55	0.36 
56	0.46 
57	0.30 
58	0.34 
59	0.44 
60	0.20 
61	0.36 
62	0.38 
63	0.32 
64	0.32 
65	0.28 
66	0.65 
67	0.34 
68	0.20 
69	0.32 
70	0.36 
71	0.46 
72	0.34 
73	0.28 
74	0.28 
75	0.26 
76	0.30 
77	0.32 
78	0.36 
79	0.36 
80	0.34 
